Document ID,Remote ID,Filename,Received At,Processed At,Table Data,Table Data 1,Table Data 2,Table Data 3,Table Data 4,Table Data 5,Table Data 6,Table Data 7
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,EASTGATE MALL,INTERSTATE 805,MIRAMAR RD,16000 N,15900,15900 N,15900 N,15900 N
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,EBERS ST,WEST POINT LOMA BLVD,NEWPORT AVE,8500 N,7900 E,7900 N,7900 N,7900 N
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,ECKSTROM AVE/HATHAWAY,ST BALBOA AVE,ASHFORD ST,8100 N,8100,8100 N,8100 N,8100 N
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,EL CAJON BLVD,PARK BLVD,FLORIDA ST,21000 N,21000,21000 N,21000 N,21000 N
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,EL CAJON BLVD,FLORIDA ST,TEXAS ST,23400 N,23000,23000 N,22900,22900 N
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,EL CAJON BLVD,TEXAS ST,UTAH ST,27600 N,25700,25700 N,27100,27100 N
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,EL CAJON BLVD,UTAH ST,30TH ST,33000 N,33700 E,33700 N,36200,29200
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,EL CAJON BLVD,30TH ST,INTERSTATE 805,30800 N,39600 E,39600 N,37900,39900
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,EL CAJON BLVD,INTERSTATE 805,35TH ST,27900 N,31600 E,31600 N,31600 N,27800
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,EL CAJON BLVD,35TH ST,40TH ST,24700 N,21700,21700 N,21700,21500
